type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Anamnese (Zustand),,Gab es seit der letzten Untersuchung Veränderungen?,Keine Veränderungen,Ich habe Kopfschmerzen,Mir ist übel,Ich kann nicht schlafen,Ich habe Schwellungen,Ich fühle mich müde,Ich habe Verstopfung,Es juckt,Sonstiges,,,,,,,,,,,,
Anamnese (Zustand),,Seit wann?,counter_kara,,,,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,Wann wird der Bauch hart?,Nach dem Gehen,Nach langem Stehen,Nach dem Heben schwerer Gegenstände,Plötzlich ohne Bewegung,Heute,,,,,,,,,,,,,,,,
Vor der Untersuchung,,Bitte gehen Sie ins Untersuchungszimmer,Ziehen Sie Ihre Unterwäsche aus und setzen Sie sich auf den Untersuchungsstuhl,Ziehen Sie die Schuhe aus,,,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,Haben Sie ein Spannungsgefühl im Bauch?,Ja,Nein,,,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,Wie oft spannt der Bauch pro Tag?,1 Mal,Etwa 5 Mal,Etwa 10 Mal,Sehr oft,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,"Gibt es Schmerzen, wenn der Bauch hart wird?",Ja,Nein,,,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,Bewegt sich das Baby?,Ja,Nein,,,,,,,,,,,,,,,,,,,
Anamnese (Wehen & Fötus),,Gibt es Blutungen?,Ja,Nein,,,,,,,,,,,,,,,,,,,
Gutscheine,,Heute verwenden wir den Gutschein aus dem Mutter-Kind-Pass,Gebärmutterhalskrebsuntersuchung,Bluttest,Ultraschalluntersuchung,Untersuchung,Gesundheitsberatung,Sonstiges,,,,,,,,,,,,,,,
Rezept,,Wir verschreiben ein orales Medikament,Zur Senkung des Blutdrucks,Zur Linderung von Wehen,Zur Erhöhung des Eisenspiegels,Zur Behandlung von Verstopfung,Zur Behandlung von Magensymptomen,Zur Behandlung von Erkältungen,Zur Behandlung von Entzündungen,Sonstiges,,,,,,,,,,,,,
Untersuchungsraum (Erklärung),,Wir erklären die Ergebnisse der Untersuchung,Beobachten wir weiter,Alles ist in Ordnung,Datum des nächsten Termins,1-12 Monate (Zahl auswählen),1-31 Tage (Zahl auswählen),,,,,,,,,,,,,,,,
Untersuchungsraum (Erklärung),,"Erklärung, wann Sie uns kontaktieren sollten",Wenn Blut aus der Scheide kommt,Wenn wässriger Ausfluss auftritt,Wenn Sie öfter als einmal in 10 Minuten Bauchschmerzen haben,"Wenn Sie denken, dass sich das Baby weniger bewegt",,,https://rasc.jp/wp-content/uploads/german02.pdf,,,,,,,,,,,,,,
Ultraschalluntersuchung (abdominal),,"Wir schauen mit einem Ultraschall vom Bauch, wie es dem Baby geht",Bitte legen Sie sich auf die Liege und machen Sie den Bauch frei,,,,,,,,,,,,,,,,,,,,
Innere Untersuchung,,Wir führen eine Untersuchung durch,Wir sehen uns den Zustand des Gebärmutterhalses an,Ein Instrument wird in die Scheide eingeführt,Wir sehen uns das Baby mit Ultraschall an,,,,,,,,,,,,,,,,,,
Ultraschalluntersuchung (vaginal/abdominal),,Wir erklären es auf dem Bildschirm,Das ist das Baby,Das ist das Herz,Das ist das Gesicht,Das sind die Beine,Das ist ein Querschnitt des Bauches,Das Gewicht des Babys ist normal,Das Baby ist gesund,Keine Probleme,,,,,,,,,,,,,
Innere Untersuchung (Tests),,Wir führen Tests durch,Wir machen einen Gebärmutterhalskrebs-Test,"Wir prüfen auf Infektionen, die auf das Baby übertragbar sein können",Es kann etwas schmerzen,Fertig,,,,,,,,,,,,,,,,,
Nach der inneren Untersuchung,,Die Untersuchung ist beendet. Der Stuhl fährt herunter.,Bitte ziehen Sie Ihre Unterwäsche an,"Wenn Sie bereit sind, kommen Sie bitte in den vorher besprochenen Raum","Wir rufen Sie wieder auf, bitte warten Sie vor dem Zimmer",,,Es kann zu Blutungen kommen,"Wenn Sie eine Binde haben, benutzen Sie sie bitte",,,,,,,,,,,,,,
NST,,"Wir legen ein Gerät an, um die Spannung im Bauch und den Zustand des Babys zu prüfen",Es dauert etwa 20 Minuten,Etwa 40 Minuten,Etwa 50 Minuten,Etwa 60 Minuten,Bitte setzen Sie sich auf den Stuhl,Bitte legen Sie sich auf die Liege,Zwei Gurte werden angebracht,Zwei Geräte werden angebracht,"Wenn Sie sich unwohl fühlen, drücken Sie bitte den Notrufknopf",,,,,,,,,,,,
Blutuntersuchung,,Wir machen eine Blutuntersuchung,"Wir überprüfen auf Viren, die auf das Baby übertragbar sind","Wir prüfen, ob die Blutgruppe in Ordnung ist","Wir prüfen, ob Sie an Anämie leiden",Wir machen einen Blutzuckertest,,,,,,,,,,,,,,,,,
Blutzuckertest,,Nach dem Blutzuckertest trinken Sie bitte zuerst den Saft,Nach einer Stunde wird Blut abgenommen,,,,,,,,,,,,,,,,,,,,
Apotheke (orale Medikamente),,Orale Medikamente,Pulver,Tabletten,Flüssigkeit,Salbe,Vaginaltablette,Zäpfchen,Gurgellösung,Salbe,,,,,,,,,,,,,
