type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Interview,Condition,Any changes since your last visit?,No changes,Headache,Nausea,Can't sleep,Swelling,Tired,Constipation,Itching,Others,,,,,,,,,,,,
Interview,Condition,Since when?,counter_kara,,,,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,When does your abdomen tighten?,After walking,After standing for a long time,After carrying heavy objects,Suddenly without movement,Today,,,,,,,,,,,,,,,,
Examination,Before Examination,Move to the examination room,Remove your underwear and sit on the examination chair,Remove your shoes,,,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,Do you feel abdominal tightness?,Yes,No,,,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,How many times a day does it tighten?,1 time,About 5 times,About 10 times,Many times,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,Does it hurt when it tightens?,Yes,No,,,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,Is the baby moving?,Yes,No,,,,,,,,,,,,,,,,,,,
Interview,Uterine Contractions & Fetus,Is there bleeding?,Yes,No,,,,,,,,,,,,,,,,,,,
Explanation,Coupon,Today we will use a coupon from the mother-child handbook,Cervical cancer screening,Blood test,Ultrasound,Examination,Health guidance,Others,,,,,,,,,,,,,,,
Interview,Prescription,We will prescribe oral medication,Lower blood pressure,Stop abdominal tightening,Increase iron,Cure constipation,Treat stomach symptoms,Treat colds,Treat inflammation,Others,,,,,,,,,,,,,
Examination,Consultation Room,Explain the results of the examination,Let’s monitor for now,All is well,Next appointment date,1–12 months (select number),1–31 days (select number),,,,,,,,,,,,,,,,
Examination,Consultation Room,When to contact us explained,Bleeding from the vagina,Watery discharge from the vagina,Abdominal pain occurring more than once every 10 minutes,Feel that the baby’s movements have decreased,,,https://rasc.jp/wp-content/uploads/english02.pdf,,,,,,,,,,,,,,
Examination,Ultrasound (Abdominal),Let’s check the baby’s condition with an abdominal ultrasound,Lie on the bed and expose your abdomen,,,,,,,,,,,,,,,,,,,,
Examination,Internal Examination,We will conduct an examination,Check the condition of the cervix,An instrument will be inserted into the vagina,Check the baby’s condition with an ultrasound,,,,,,,,,,,,,,,,,,
Examination,Ultrasound (Vaginal/Abdominal),Explanation on screen,Baby,Heart,Face,Feet,Cross-section of the abdomen,The baby’s weight is fine,The baby is doing well,No issues,,,,,,,,,,,,,
Examination,Internal Examination,We will conduct a test,Screening for cervical cancer,Testing for infectious viruses that may affect the baby,It may hurt slightly,It's done,,,,,,,,,,,,,,,,,
Examination,After Internal Examination,The examination is complete; the chair will lower,Put on your underwear,"Once ready, please go to the room discussed earlier","We’ll call you, please wait outside the room",,,There might be bleeding,"If you have a pad, please use it",,,,,,,,,,,,,,
Examination,NST,We will attach devices to your abdomen to check abdominal tightness and the baby’s condition,It takes about 20 minutes,It takes about 40 minutes,It takes about 50 minutes,It takes about 60 minutes,Sit on a chair,Lie on the bed,Attach two belts,Attach two devices,Notify us via nurse call if you feel unwell,,,,,,,,,,,,
Examination,Blood Test,We will conduct a blood test,Testing for infectious viruses that may affect the baby,Check if the blood type is problematic,Check for anemia,Check blood sugar levels,,,,,,,,,,,,,,,,,
Examination,Blood Sugar Test,"After the blood sugar test, drink juice first",Blood will be drawn an hour later,,,,,,,,,,,,,,,,,,,,
Pharmacy,Pharmacy,Oral medication,Powder,Tablets,Liquid,Ointment,Vaginal tablet,Suppository,Gargle,Ointment,,,,,,,,,,,,,
Pharmacy,Pharmacy,Number of doses,Morning,Noon,Evening,Before meals,During meals,After meals,When in pain,When itchy,When discharge is heavy,,,,,,,,,,,,
Pharmacy,Pharmacy,Number of doses (maximum),Leave 4 hours between doses,Leave 6 hours between doses,Up to 2 tablets per day,Up to 3 tablets per day,Up to 4 tablets per day,,,,,,,,,,,,,,,,
Pharmacy,Pharmacy,Where to apply it,Face,Legs,Abdomen,Back,Buttocks,Vagina,,,,,,,,,,,,,,,
Pharmacy,Pharmacy,Since when?,Just now,3 hours ago,6 hours ago,9 hours ago,Half a day ago,Yesterday,The day before yesterday,Earlier,,,,,,,,,,,,,
Midwife Interview,Condition,Are you eating well?,3 meals a day,2 meals a day,1 meal a day,Not eating,Drinking fluids,Having snacks,Others,,,,,,,,,,,,,,
Midwife Interview,Condition,Are you sleeping well?,Yes,Occasionally waking up,Frequently waking up,Hardly sleeping,,,,,,,,,,,,,,,,,
Midwife Interview,Explanation,Here is the explanation you need. Please read the booklet,Hypertension during pregnancy(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english04.pdf,Gestational diabetes(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english05.pdf,Threatened miscarriage(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english06.pdf,Threatened preterm labor(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english06.pdf,,,,,,,,,,,,,,,,,
Midwife Interview,Birth Plan,"If you have any preferences for delivery, please consider them",Birth plan(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english09.pdf,,,,,,,,,,,,,,,,,,,,
Midwife Interview,Explanation (Delivery),This is an explanation about delivery. Please read the booklet,Preparing hospital items(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english02.pdf,Cesarean section(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english03.pdf,Induction of labor(to Mom and Baby Support Series)||https://rasc.jp/wp-content/uploads/english08.pdf,,,,,,,,,,,,,,,,,,
Mom and Baby Support Series,冊子リンク,Click an item to open the PDF.,Cover (Color)||https://rasc.jp/wp-content/uploads/english00-0.pdf,Cover (White)||https://rasc.jp/wp-content/uploads/english00-0W.pdf,Introduction||https://rasc.jp/wp-content/uploads/english00-1.pdf,Table of Contents||https://rasc.jp/wp-content/uploads/english00-2.pdf,Questions Asked by Obstetrics and Gynecology (OB-GYN)||https://rasc.jp/wp-content/uploads/english01.pdf,When You Need to Contact Hospital||https://rasc.jp/wp-content/uploads/english02.pdf,Childbirth in Japan||https://rasc.jp/wp-content/uploads/english03.pdf,Hypertensive Disorder of Pregnancy (HDP)||https://rasc.jp/wp-content/uploads/english04.pdf,Gestational Diabetes Mellitus (GDM)||https://rasc.jp/wp-content/uploads/english05.pdf,Threatened Miscarriage ・Preterm Labor||https://rasc.jp/wp-content/uploads/english06.pdf,Group B Streptococci||https://rasc.jp/wp-content/uploads/english07.pdf,Labor Induction Medications||https://rasc.jp/wp-content/uploads/english08.pdf,Birth Plan||https://rasc.jp/wp-content/uploads/english09.pdf,The Postpartum Life||https://rasc.jp/wp-content/uploads/english10.pdf,Breastfeeding||https://rasc.jp/wp-content/uploads/english11.pdf,About Baby||https://rasc.jp/wp-content/uploads/english12.pdf,Social Resources||https://rasc.jp/wp-content/uploads/english13.pdf,Vaccinations||https://rasc.jp/wp-content/uploads/english14.pdf,Words Frequently Used about Childbirth||https://rasc.jp/wp-content/uploads/english15.pdf,Column. Advices from non-Japanese moms who gave birth in Japan||https://rasc.jp/wp-content/uploads/english98.pdf,Contributors||https://rasc.jp/wp-content/uploads/english99.pdf
