type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
문진,건강 상태,지난 진료 이후 변화가 있었나요?,변화 없음,두통이 있음,메스꺼움이 있음,잠을 잘 못 잠,부종이 있음,피로함,변비가 있음,가려움,기타,,,,,,,,,,,,
문진,건강 상태,언제부터인가요?,counter_kara,,,,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,어떤 상황에서 배가 뭉치나요?,걷고 난 후,오래 서 있었을 때,무거운 것을 들었을 때,움직임과 관계없이 갑자기,오늘,,,,,,,,,,,,,,,,
검사 & 진찰,내진 전,진료실로 이동하세요,속옷을 벗고 진료용 의자에 앉으세요,신발을 벗으세요,,,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,배가 뭉치는 느낌이 있나요?,네,아니요,,,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,하루에 몇 번 배가 뭉치나요?,1회,5회 정도,10회 정도,많이,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,배가 뭉칠 때 통증이 있나요?,네,아니요,,,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,아기가 움직이나요?,네,아니요,,,,,,,,,,,,,,,,,,,
문진,자궁 수축 & 태아,출혈이 있나요?,네,아니요,,,,,,,,,,,,,,,,,,,
설명,지원 쿠폰,오늘은 모자수첩의 지원 쿠폰을 사용합니다,자궁경부암 검사,혈액 검사,초음파 검사,진료,건강 지도,기타,,,,,,,,,,,,,,,
문진,처방,경구 약을 처방합니다,혈압을 낮추는 약,배 뭉침을 완화하는 약,철분을 보충하는 약,변비를 치료하는 약,위장 증상을 완화하는 약,감기를 치료하는 약,염증을 치료하는 약,기타,,,,,,,,,,,,,
검사 & 진찰,진찰실,진료 결과를 설명하겠습니다,경과를 지켜보겠습니다,순조롭게 진행되고 있습니다,다음 진료일입니다,1～12월 (숫자 선택),1～31일 (숫자 선택),,,,,,,,,,,,,,,,
검사 & 진찰,진찰실,연락이 필요한 경우에 대한 설명을 합니다,질 출혈이 있을 때,질에서 물 같은 분비물이 나올 때,10분 이내에 한 번 이상 배가 아플 때,아기의 움직임이 적다고 느껴질 때,,,https://rasc.jp/wp-content/uploads/korean02.pdf,,,,,,,,,,,,,,
검사 & 진찰,복부 초음파,배를 통해 초음파로 아기의 상태를 확인해 봅시다,침대에 누워서 배를 드러내 주세요,,,,,,,,,,,,,,,,,,,,
검사 & 진찰,내진,진찰을 진행합니다,자궁경부 상태를 확인하겠습니다,기구가 질 안으로 들어갑니다,초음파 검사로 아기의 상태를 확인해 보겠습니다,,,,,,,,,,,,,,,,,,
검사 & 진찰,초음파 검사 (질식 & 복부),화면을 보면서 설명하겠습니다,아기입니다,심장입니다,얼굴입니다,발입니다,복부 단면입니다,아기의 체중도 정상입니다,아기는 건강합니다,문제 없습니다,,,,,,,,,,,,,
검사 & 진찰,내진,검사를 진행합니다,자궁경부암 검사를 진행합니다,아기에게 전염될 수 있는 바이러스 감염 여부를 검사합니다,약간의 통증이 있을 수 있습니다,검사가 끝났습니다,,,,,,,,,,,,,,,,,
검사 & 진찰,내진 후,진료가 끝났습니다. 의자가 내려갑니다.,속옷을 입으세요,준비가 되면 방금 대화했던 방으로 오세요,다시 부를 때까지 밖에서 기다려 주세요,,,출혈이 있을 수 있습니다,패드가 있으면 사용하세요,,,,,,,,,,,,,,
검사 & 진찰,NST,배에 기기를 부착하여 자궁 수축과 아기의 상태를 확인하겠습니다,약 20분 정도 걸립니다,약 40분 정도 걸립니다,약 50분 정도 걸립니다,약 60분 정도 걸립니다,의자에 앉으세요,침대에 누우세요,벨트를 2개 부착합니다,기기를 2개 부착합니다,몸이 불편하면 간호사 호출 버튼을 눌러 주세요,,,,,,,,,,,,
검사 & 진찰,혈액 검사,혈액 검사를 진행하겠습니다,아기에게 전염될 수 있는 감염 바이러스 여부를 검사합니다,혈액형 검사를 합니다,빈혈 여부를 검사합니다,혈당 검사를 진행합니다,,,,,,,,,,,,,,,,,
검사 & 진찰,혈당 검사,"혈당 검사를 한 후, 먼저 주스를 마시세요",한 시간 후에 채혈을 진행합니다,,,,,,,,,,,,,,,,,,,,
약국,경구 약,경구 약,가루약,정제,액체,연고,질정,좌약,가글약,연고,,,,,,,,,,,,,
약국,경구 약,복용 횟수,아침,점심,저녁,식전,식중,식후,아플 때,가려울 때,분비물이 많을 때,,,,,,,,,,,,
약국,경구 약,복용 횟수(상한),4시간 간격,6시간 간격,하루 최대 2정,하루 최대 3정,하루 최대 4정,,,,,,,,,,,,,,,,
약국,연고,바르는 부위,얼굴,다리,배,등,엉덩이,질,,,,,,,,,,,,,,,
약국,연고,언제부터인가요?,방금 전,3시간 전,6시간 전,9시간 전,반나절 전,어제,그저께,더 전부터,,,,,,,,,,,,,
문진 (조산사),문진 (건강 상태),식사는 잘 하고 있나요?,세 끼를 먹고 있다,두 끼를 먹고 있다,한 끼를 먹고 있다,먹지 못하고 있다,수분을 섭취하고 있다,간식을 먹고 있다,기타,,,,,,,,,,,,,,
문진 (조산사),문진 (건강 상태),잘 자고 있나요?,네,가끔 깨요,자주 깨요,거의 못 잡니다,,,,,,,,,,,,,,,,,
문진 (조산사),설명 (지도),필요한 설명입니다. 책자를 읽어 주세요.,임신성 고혈압(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean04.pdf,임신성 당뇨(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean05.pdf,절박 유산(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean06.pdf,절박 조산(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean06.pdf,,,,,,,,,,,,,,,,,
문진 (조산사),설명 (출산 계획),출산 시 희망하는 사항이 있으면 생각해 보세요,출산 계획(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean09.pdf,,,,,,,,,,,,,,,,,,,,
문진 (조산사),설명 (출산),출산에 대한 설명입니다. 책자를 읽어 주세요.,입원 준비물(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean02.pdf,제왕절개(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean03.pdf,진통 촉진제(엄마와 아기 지원 시리즈로)||https://rasc.jp/wp-content/uploads/korean08.pdf,,,,,,,,,,,,,,,,,,
엄마와 아기 지원 시리즈,冊子リンク,항목을 클릭하면 PDF를 읽을 수 있습니다.,표지(컬러판)||https://rasc.jp/wp-content/uploads/korean00-0.pdf,표지(화이트판)||https://rasc.jp/wp-content/uploads/korean00-0W.pdf,머리말||https://rasc.jp/wp-content/uploads/korean00-1.pdf,목차||https://rasc.jp/wp-content/uploads/korean00-2.pdf,산부인과에서 질문하는 내용||https://rasc.jp/wp-content/uploads/korean01.pdf,병원에 연락을 해야 할 때||https://rasc.jp/wp-content/uploads/korean02.pdf,일본의 출산에 대해서||https://rasc.jp/wp-content/uploads/korean03.pdf,임신고혈압증후군(HDP)||https://rasc.jp/wp-content/uploads/korean04.pdf,임신성당뇨병(GDM)||https://rasc.jp/wp-content/uploads/korean05.pdf,절박유산・절박조산||https://rasc.jp/wp-content/uploads/korean06.pdf,B 군 연쇄상구균(GBS)||https://rasc.jp/wp-content/uploads/korean07.pdf,진통촉진제||https://rasc.jp/wp-content/uploads/korean08.pdf,출산 계획||https://rasc.jp/wp-content/uploads/korean09.pdf,출산 후 생활||https://rasc.jp/wp-content/uploads/korean10.pdf,수유||https://rasc.jp/wp-content/uploads/korean11.pdf,아기에 대해서||https://rasc.jp/wp-content/uploads/korean12.pdf,사회 자원에 대해서||https://rasc.jp/wp-content/uploads/korean13.pdf,예방접종||https://rasc.jp/wp-content/uploads/korean14.pdf,자주 사용하는 출산에 관한 단어||https://rasc.jp/wp-content/uploads/korean15.pdf,칼럼. 일본에서 출산을 한 다양한 나라의 엄마들의 어드바이스||https://rasc.jp/wp-content/uploads/korean98.pdf,담당자 목록||https://rasc.jp/wp-content/uploads/korean99.pdf
