type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
問診,体調,この前の診察から変わったことはありませんか,変わったことはないです,頭痛があります,吐き気があります,眠れません,むくみます,疲れます,便秘です,かゆいです,その他,,,,,,,,,,,,
問診,体調,いつからですか,counter_kara,,,,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,どんなときにお腹が張りますか？,歩いたあと,長く立ったあと,重いものを持ったあと,動きに関係なく突然,本日,,,,,,,,,,,,,,,,
検査・診察,内診の前,診察の部屋に移動してください,下着をとって、診察する椅子に座ってください,靴を脱いでください,,,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,お腹の張りはありますか,はい,いいえ,,,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,１日に何回張りますか,1回,5回ぐらい,10回ぐらい,たくさん,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,張りがあるときに痛みはありますか,あります,ありません,,,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,赤ちゃんは動いていますか,はい,いいえ,,,,,,,,,,,,,,,,,,,
問診,子宮収縮＆胎児,出血はありますか,はい,いいえ,,,,,,,,,,,,,,,,,,,
説明,補助券,今日は母子手帳の補助券を使います,子宮頸がんの検査,血液検査,超音波検査,診察,保健指導,その他,,,,,,,,,,,,,,,
問診,処方,内服薬を出します,血圧を下げます,お腹の張りを止めます,鉄分を増やします,便秘を治します,胃の症状を治します,風邪を治します,炎症を治します,その他,,,,,,,,,,,,,
検査・診察,診察室,診察の結果を説明します,このまま様子をみましょう,順調です,次の診察の日です,1～12月（数字は選択）,1～31日（数字は選択）,,,,,,,,,,,,,,,,
検査・診察,診察室,連絡をしてほしい時の説明をします,腟から血が出たとき,腟から水っぽいものが出たとき,10分以内に１回以上のペースでお腹がいたくなったとき,赤ちゃんの動きが少ないと思ったとき,,,https://rasc.jp/wp-content/uploads/english02.pdf,,,,,,,,,,,,,,
検査・診察,超音波検査（経腹）,お腹から超音波検査で赤ちゃんの様子を見てみましょう,ベットに横になって、お腹を出してください,,,,,,,,,,,,,,,,,,,,
検査・診察,内診,診察をします,子宮の入口の様子を見てみましょう,器械が腟にはいります,超音波検査で赤ちゃんの様子を見てみましょう,,,,,,,,,,,,,,,,,,
検査・診察,超音波検査（経腟・経腹）,画面で説明します,赤ちゃんです,心臓です,顔です,足です,お腹の輪切りです,赤ちゃんの体重も順調です,赤ちゃんは元気です,問題ありません,,,,,,,,,,,,,
検査・診察,内診,検査をします,子宮頸がんの検査をします,赤ちゃんにうつる可能性がある感染症ウイルスなどがないか検査します,少し痛みがあります,終わりました,,,,,,,,,,,,,,,,,
検査・診察,内診の後,診察はおわりです。椅子がおります。,下着をつけてください,準備ができたら、先ほど話しをした部屋に来てください,また呼びますので、部屋の外でお待ちください,,,出血があるかもしれません,ナプキンがあればつけてください,,,,,,,,,,,,,,
検査・診察,NST,お腹に器械をつけて、お腹の張りと赤ちゃんが元気かどうか見てみましょうね,20分くらいかかります,40分くらいかかります,50分くらいかかります,60分くらいかかります,椅子に座ってください,ベットに横になってください,ベルトを2つ付けます,器械を2つ付けます,気分が悪くなったらナースコールで教えてください,,,,,,,,,,,,
検査・診察,血液検査,血液検査をします,赤ちゃんにうつる可能性がある感染症ウイルスなどがないか検査します,血液型が問題ないか検査します,貧血がないか検査します,血糖の検査をします,,,,,,,,,,,,,,,,,
検査・診察,血糖検査,血糖検査をしたあとに、最初にジュースを飲んでください,一時間後に採血をします,,,,,,,,,,,,,,,,,,,,
薬局,内服薬,内服薬,粉,錠剤,液体,塗り薬,膣錠,座薬,うがい薬,塗り薬,,,,,,,,,,,,,
薬局,内服薬,内服回数,朝,昼,夜,食前,食中,食後,痛い時,痒い時,おりものが多い時,,,,,,,,,,,,
薬局,内服薬,内服回数(上限),4時間あける,6時間あける,1日 2錠/回まで,1日 3錠/回 まで,1日 4錠/回 まで,,,,,,,,,,,,,,,,
薬局,場所,場所,顔,足,お腹,背中,おしり,膣,,,,,,,,,,,,,,,
問診（助産）,体調,いつからですか,ついさっき,3時間前,6時間前,9時間前,半日前,昨日,おととい,もっと前,,,,,,,,,,,,,
問診（助産）,問診（体調 ）,食事はとれてますか,3食食べている,2食食べている,1食食べている,食べれない,水分をとっている,間食している,その他,,,,,,,,,,,,,,
問診（助産）,問診（体調 ）,よく眠れていますか,はい,ときどき目が覚める,頻繁に目が覚める,ほとんど眠れない,,,,,,,,,,,,,,,,,
問診（助産）,説明（指導）,あなたに必要な説明です。冊子を読んでください。,妊娠高血圧症候群(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english04.pdf,妊娠糖尿病(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english05.pdf,切迫流産(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english06.pdf,切迫早産(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english06.pdf,,,,,,,,,,,,,,,,,
問診（助産）,説明（バースプラン）,出産のときの希望があれば考えておいてください,バースプラン(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english09.pdf,,,,,,,,,,,,,,,,,,,,
問診（助産）,説明 （出産）,出産についての説明です。冊子を読んでください。,入院物品の準備(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english02.pdf,帝王切開(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english03.pdf,陣痛促進剤(ママと赤ちゃんのサポートシリーズへ)||https://rasc.jp/wp-content/uploads/english08.pdf,,,,,,,,,,,,,,,,,,
ママと赤ちゃんのサポートシリーズ,冊子リンク,クリックするとリンクを見ることができます,表紙(カラー版)||https://rasc.jp/wp-content/uploads/english00-0.pdf,表紙(ホワイト板)||https://rasc.jp/wp-content/uploads/english00-0W.pdf,はじめに||https://rasc.jp/wp-content/uploads/english00-1.pdf,もくじ||https://rasc.jp/wp-content/uploads/english00-2.pdf,1．産婦人科で聞かれること||https://rasc.jp/wp-content/uploads/english01.pdf,2．病院に連絡するとき||https://rasc.jp/wp-content/uploads/english02.pdf,3．日本の出産について||https://rasc.jp/wp-content/uploads/english03.pdf,4．妊娠高血圧症候群||https://rasc.jp/wp-content/uploads/english04.pdf,5．妊娠糖尿病||https://rasc.jp/wp-content/uploads/english05.pdf,6．切迫流産・切迫早産||https://rasc.jp/wp-content/uploads/english06.pdf,7．B群溶血性レンサ球菌||https://rasc.jp/wp-content/uploads/english07.pdf,8．陣痛促進剤||https://rasc.jp/wp-content/uploads/english08.pdf,9．バースプラン||https://rasc.jp/wp-content/uploads/english09.pdf,10．出産のあとの生活||https://rasc.jp/wp-content/uploads/english10.pdf,11．授乳||https://rasc.jp/wp-content/uploads/english11.pdf,12．赤ちゃんについて||https://rasc.jp/wp-content/uploads/english12.pdf,13．社会資源について||https://rasc.jp/wp-content/uploads/english13.pdf,14．予防接種||https://rasc.jp/wp-content/uploads/english14.pdf,15．よく使う出産に関することば||https://rasc.jp/wp-content/uploads/english15.pdf,コラム 日本で出産したいろいろな国のママからのアドバイス||https://rasc.jp/wp-content/uploads/english98.pdf,担当者一覧||https://rasc.jp/wp-content/uploads/english99.pdf
