type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Hỏi bệnh,Tình trạng sức khỏe,Có gì thay đổi kể từ lần khám trước không?,Không có thay đổi,Tôi bị đau đầu,Tôi buồn nôn,Tôi không ngủ được,Tôi bị phù nề,Tôi cảm thấy mệt mỏi,Tôi bị táo bón,Tôi bị ngứa,Khác,,,,,,,,,,,,
Hỏi bệnh,Tình trạng sức khỏe,Từ khi nào?,counter_kara,,,,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,Khi nào thì bụng bạn căng cứng?,Sau khi đi bộ,Sau khi đứng lâu,Sau khi mang vật nặng,Tự nhiên căng cứng mà không liên quan đến vận động,Hôm nay,,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Trước khi khám nội,Di chuyển đến phòng khám,Tháo đồ lót và ngồi lên ghế khám,Cởi giày,,,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,Bạn có bị căng cứng bụng không?,Có,Không,,,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,Mỗi ngày bụng căng cứng mấy lần?,1 lần,Khoảng 5 lần,Khoảng 10 lần,Rất nhiều lần,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,"Khi bị căng cứng bụng, bạn có cảm thấy đau không?",Có,Không,,,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,Em bé có cử động không?,Có,Không,,,,,,,,,,,,,,,,,,,
Hỏi bệnh,Cơn co tử cung & thai nhi,Bạn có bị ra máu không?,Có,Không,,,,,,,,,,,,,,,,,,,
Giải thích,Phiếu hỗ trợ,Hôm nay bạn sẽ sử dụng phiếu hỗ trợ trong sổ mẹ và bé,Xét nghiệm ung thư cổ tử cung,Xét nghiệm máu,Siêu âm,Khám bệnh,Hướng dẫn bảo vệ sức khỏe,Khác,,,,,,,,,,,,,,,
Hỏi bệnh,Kê đơn thuốc,Bạn sẽ được kê đơn thuốc,Uống để hạ huyết áp,Uống để giảm căng cứng bụng,Uống để bổ sung sắt,Uống để trị táo bón,Uống để trị triệu chứng dạ dày,Uống để trị cảm cúm,Uống để trị viêm nhiễm,Khác,,,,,,,,,,,,,
Khám & Chẩn đoán,Phòng khám,Chúng tôi sẽ giải thích kết quả khám,Hãy tiếp tục theo dõi,Thai kỳ đang tiến triển tốt,Ngày khám tiếp theo,1-12 (chọn số),1-31 (chọn số),,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Phòng khám,Chúng tôi sẽ giải thích khi nào cần liên hệ,Khi bị chảy máu âm đạo,Khi có chất lỏng bất thường chảy ra từ âm đạo,Khi bị đau bụng theo chu kỳ dưới 10 phút một lần,Khi cảm thấy em bé ít cử động,,,https://rasc.jp/wp-content/uploads/vietnamese02.pdf,,,,,,,,,,,,,,
Khám & Chẩn đoán,Siêu âm (qua bụng),Chúng ta hãy xem tình trạng của em bé qua siêu âm,Hãy nằm lên giường và để lộ bụng,,,,,,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Khám nội,Chúng tôi sẽ tiến hành khám,Xem tình trạng cổ tử cung,Dụng cụ sẽ được đưa vào âm đạo,Siêu âm để kiểm tra tình trạng của em bé,,,,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Siêu âm (qua âm đạo & bụng),Chúng tôi sẽ giải thích trên màn hình,Đây là em bé,Đây là tim,Đây là khuôn mặt,Đây là chân,Đây là hình cắt ngang bụng,Trọng lượng của em bé phát triển tốt,Em bé khỏe mạnh,Không có vấn đề gì,,,,,,,,,,,,,
Khám & Chẩn đoán,Khám nội,Chúng tôi sẽ tiến hành xét nghiệm,Xét nghiệm ung thư cổ tử cung,Xét nghiệm để kiểm tra có vi rút truyền nhiễm có thể ảnh hưởng đến em bé không,Có thể hơi đau,Đã hoàn thành,,,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Sau khi khám nội,Khám xong rồi. Ghế sẽ hạ xuống.,Mặc lại đồ lót,"Khi đã sẵn sàng, hãy đến phòng vừa nói chuyện","Chúng tôi sẽ gọi lại, vui lòng đợi bên ngoài",,,Hãy dùng băng vệ sinh nếu có,Nếu có băng vệ sinh thì hãy dùng,,,,,,,,,,,,,,
Khám & Chẩn đoán,NST,Chúng tôi sẽ theo dõi cơn gò tử cung và sự cử động của em bé bằng thiết bị đặt trên bụng,Quá trình này kéo dài khoảng 20 phút,Kéo dài khoảng 40 phút,Kéo dài khoảng 50 phút,Kéo dài khoảng 60 phút,Hãy ngồi lên ghế,Hãy nằm lên giường,Sẽ đeo 2 đai quanh bụng,Sẽ gắn 2 thiết bị lên bụng,"Nếu cảm thấy khó chịu, hãy bấm chuông gọi y tá",,,,,,,,,,,,
Khám & Chẩn đoán,Xét nghiệm máu,Chúng tôi sẽ tiến hành xét nghiệm máu,Xét nghiệm kiểm tra vi rút truyền nhiễm có thể ảnh hưởng đến em bé,Xét nghiệm nhóm máu,Xét nghiệm thiếu máu,Xét nghiệm đường huyết,,,,,,,,,,,,,,,,,
Khám & Chẩn đoán,Xét nghiệm đường huyết,"Sau khi xét nghiệm đường huyết, hãy uống nước trái cây ngay lập tức",Sẽ lấy máu sau 1 giờ,,,,,,,,,,,,,,,,,,,,
Nhà thuốc,Thuốc uống,Thuốc uống,Bột,Viên nén,Dạng lỏng,Thuốc bôi,Viên đặt âm đạo,Thuốc đặt hậu môn,Nước súc miệng,Thuốc bôi,,,,,,,,,,,,,
