type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
问诊,体况,自上次诊察以来有变化吗？,没有变化,头痛,恶心,睡不着,浮肿,疲劳,便秘,瘙痒,其他,,,,,,,,,,,,
问诊,体况,从什么时候开始的？,counter_kara,,,,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,什么情况下腹部会发紧？,步行后,长时间站立后,提重物后,无活动突然发生,今天,,,,,,,,,,,,,,,,
检查,检查前,请移动到检查室,脱掉内衣并坐在检查椅上,脱掉鞋子,,,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,有腹部发紧的感觉吗？,是,否,,,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,一天会宫缩几次？,1次,约5次,约10次,很多次,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,发紧时会感到疼痛吗？,有,没有,,,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,宝宝有在动吗？,是,否,,,,,,,,,,,,,,,,,,,
问诊,子宫收缩及胎儿,有出血吗？,是,否,,,,,,,,,,,,,,,,,,,
说明,补助券,今天使用母子手册中的补助券,宫颈癌检查,血液检查,超声波检查,诊察,健康指导,其他,,,,,,,,,,,,,,,
问诊,处方,我们将开口服药物,降低血压,止住腹部发紧,增加铁元素,缓解便秘,缓解胃部症状,治疗感冒,治疗炎症,其他,,,,,,,,,,,,,
检查,诊察室,说明检查结果,让我们继续观察,一切顺利,下一次诊察的日期,1–12月（选择数字）,1–31天（选择数字）,,,,,,,,,,,,,,,,
检查,诊察室,说明何时需要联系,阴道出血,阴道出现水样分泌物,腹痛频率10分钟内超过1次,感觉宝宝的活动减少,,,https://rasc.jp/wp-content/uploads/chinese02.pdf,,,,,,,,,,,,,,
检查,超声波检查（经腹）,通过腹部超声波检查宝宝的情况,请躺在床上，露出腹部,,,,,,,,,,,,,,,,,,,,
检查,内诊,我们将进行检查,查看子宫颈的状态,器械将进入阴道,通过超声波检查宝宝的情况,,,,,,,,,,,,,,,,,,
检查,超声波检查（经阴/经腹）,屏幕上的说明,宝宝,心脏,脸部,脚部,腹部横截面,宝宝体重正常,宝宝健康,无问题,,,,,,,,,,,,,
检查,内诊,我们将进行测试,进行宫颈癌检查,检测是否存在可能传染给宝宝的病毒,可能会有些疼痛,结束了,,,,,,,,,,,,,,,,,
检查,内诊后,检查结束，椅子将下降,请穿上内衣,准备好后，请到刚才说明的房间,我们会叫您的，请在房间外等待,,,可能会有出血,如果有卫生巾请使用,,,,,,,,,,,,,,
检查,NST,我们将连接设备到您的腹部，检查腹部发紧和宝宝是否健康,需要大约20分钟,需要大约40分钟,需要大约50分钟,需要大约60分钟,请坐在椅子上,请躺在床上,连接两条带子,连接两个设备,如果感到不适，请按护士呼叫铃,,,,,,,,,,,,
检查,血液检查,我们将进行血液检查,检测是否存在可能传染给宝宝的病毒,检测血型是否有问题,检查是否贫血,进行血糖检查,,,,,,,,,,,,,,,,,
检查,血糖检查,血糖检查后，请先喝果汁,一小时后抽血,,,,,,,,,,,,,,,,,,,,
药局,药局,口服药物,粉剂,片剂,液体,涂抹药,阴道药,栓剂,漱口药,涂抹药,,,,,,,,,,,,,
药局,药局,服用次数,早上,中午,晚上,饭前,饭中,饭后,疼痛时,瘙痒时,分泌物较多时,,,,,,,,,,,,
药局,药局,服用次数（上限）,间隔4小时,间隔6小时,每天最多2片,每天最多3片,每天最多4片,,,,,,,,,,,,,,,,
药局,药局,涂抹部位,脸,腿,腹部,背部,臀部,阴道,,,,,,,,,,,,,,,
药局,药局,从什么时候开始的？,刚刚,3小时前,6小时前,9小时前,半天前,昨天,前天,更早之前,,,,,,,,,,,,,
